route,count
"['main', 'archive', 'rabota', 'online']",11
"['main', 'tariffs', 'internet', 'news']",11
"['main', 'tariffs', 'archive', 'news']",11
"['main', 'internet', 'news', 'internet']",11
"['main', 'rabota', 'tariffs', 'news']",11
"['main', 'bonus', 'vklad', 'archive']",11
"['main', 'digital', 'archive']",11
"['main', 'archive', 'bonus', 'tariffs']",11
"['main', 'news', 'online', 'archive']",11
"['main', 'tariffs', 'main', 'rabota']",11
"['main', 'rabota', 'vklad', 'archive']",11
"['main', 'rabota', 'main', 'rabota']",11
"['main', 'online', 'internet', 'archive']",11
"['main', 'internet', 'online', 'archive']",11
"['main', 'internet', 'main', 'internet']",11
"['main', 'archive', 'main', 'bonus']",11
"['main', 'internet', 'bonus', 'online']",11
"['main', 'online', 'rabota', 'main']",11
"['main', 'news', 'archive', 'bonus']",11
"['main', 'vklad', 'bonus', 'internet']",11
"['main', 'news', 'bonus', 'tariffs']",11
"['main', 'archive', 'internet', 'rabota']",11
"['main', 'news', 'online', 'tariffs']",10
"['main', 'rabota', 'internet', 'main']",10
"['main', 'rabota', 'online', 'news']",10
"['main', 'online', 'archive', 'internet']",10
"['main', 'news', 'rabota', 'online']",10
"['main', 'online', 'tariffs', 'rabota']",10
"['main', 'bonus', 'archive', 'online']",10
"['main', 'archive', 'tariffs', 'internet']",10
"['main', 'main', 'news']",10
"['main', 'internet', 'online', 'rabota']",10
"['main', 'internet', 'news', 'main']",10
"['main', 'rabota', 'tariffs', 'vklad']",10
"['main', 'tariffs', 'archive', 'vklad']",10
"['main', 'internet', 'archive', 'online']",10
"['main', 'internet', 'online', 'news']",10
"['main', 'news', 'archive', 'online']",10
"['main', 'rabota', 'tariffs', 'main']",10
"['main', 'news', 'archive', 'news']",10
"['main', 'vklad', 'archive', 'internet']",10
"['main', 'tariffs', 'archive', 'rabota']",10
"['main', 'archive', 'vklad', 'news']",10
"['main', 'rabota', 'bonus', 'main']",10
"['main', 'bonus', 'online', 'archive']",10
"['main', 'news', 'online', 'internet']",10
"['main', 'archive', 'tariffs', 'rabota']",10
"['main', 'internet', 'bonus', 'news']",10
"['main', 'online', 'archive', 'tariffs']",10
"['main', 'bonus', 'online', 'main']",10
"['main', 'tariffs', 'news', 'bonus']",10
"['main', 'vklad', 'rabota', 'news']",10
"['main', 'archive', 'main', 'tariffs']",10
"['main', 'news', 'rabota', 'bonus']",10
"['main', 'news', 'bonus', 'main']",10
"['main', 'bonus', 'main', 'news']",10
"['main', 'internet', 'news', 'bonus']",10
"['main', 'internet', 'tariffs', 'rabota']",10
"['main', 'vklad', 'news', 'archive']",10
"['main', 'vklad', 'rabota', 'internet']",9
"['main', 'bonus', 'main', 'internet']",9
"['main', 'rabota', 'bonus', 'vklad']",9
"['main', 'bonus', 'tariffs', 'archive']",9
"['main', 'archive', 'bonus', 'news']",9
"['main', 'digital', 'internet']",9
"['main', 'tariffs', 'bonus', 'internet']",9
"['main', 'bonus', 'internet', 'online']",9
"['main', 'rabota', 'internet', 'vklad']",9
"['main', 'main', 'rabota']",9
"['main', 'rabota', 'online', 'bonus']",9
"['main', 'bonus', 'tariffs', 'bonus']",9
"['main', 'news', 'online', 'rabota']",9
"['main', 'vklad', 'archive', 'tariffs']",9
"['main', 'rabota', 'internet', 'online']",9
"['main', 'online', 'rabota', 'online']",9
"['main', 'rabota', 'main', 'news']",9
"['main', 'tariffs', 'archive', 'tariffs']",9
"['main', 'archive', 'tariffs', 'bonus']",9
"['main', 'online', 'bonus', 'news']",9
"['main', 'archive', 'main', 'news']",9
"['main', 'vklad', 'bonus', 'archive']",9
"['main', 'internet', 'vklad', 'rabota']",9
"['main', 'archive', 'news', 'main']",9
"['main', 'archive', 'tariffs', 'news']",9
"['main', 'tariffs', 'archive', 'online']",9
"['main', 'internet', 'main', 'online']",9
"['main', 'news', 'bonus', 'news']",9
"['main', 'news', 'archive', 'main']",9
"['main', 'news', 'vklad', 'news']",9
"['main', 'news', 'online', 'bonus']",9
"['main', 'archive', 'main', 'online']",9
"['main', 'news', 'rabota', 'main']",9
"['main', 'tariffs', 'internet', 'vklad']",9
"['main', 'archive', 'vklad', 'online']",9
"['main', 'bonus', 'tariffs', 'main']",9
"['main', 'internet', 'archive', 'news']",9
"['main', 'archive', 'online', 'bonus']",9
"['main', 'internet', 'archive', 'vklad']",9
"['main', 'bonus', 'online', 'tariffs']",9
"['main', 'rabota', 'vklad', 'rabota']",9
"['main', 'rabota', 'news', 'rabota']",9
"['main', 'rabota', 'bonus', 'rabota']",9
"['main', 'online', 'vklad', 'rabota']",9
"['main', 'rabota', 'bonus', 'news']",9
"['main', 'rabota', 'archive', 'main']",9
"['main', 'bonus', 'archive', 'vklad']",9
"['main', 'rabota', 'bonus', 'online']",9
"['main', 'news', 'internet', 'bonus']",9
"['main', 'rabota', 'archive', 'vklad']",9
"['main', 'bonus', 'internet', 'bonus']",9
"['main', 'news', 'bonus', 'archive']",9
"['main', 'bonus', 'news', 'internet']",9
"['main', 'internet', 'online', 'bonus']",9
"['main', 'main', 'tariffs']",8
"['main', 'online', 'news', 'archive']",8
"['main', 'vklad', 'internet', 'main']",8
"['main', 'tariffs', 'online', 'rabota']",8
"['main', 'news', 'tariffs', 'bonus']",8
"['main', 'tariffs', 'news', 'online']",8
"['main', 'vklad', 'rabota', 'archive']",8
"['main', 'rabota', 'main', 'online']",8
"['main', 'news', 'internet', 'online']",8
"['main', 'bonus', 'online', 'news']",8
"['main', 'tariffs', 'bonus', 'archive']",8
"['main', 'bonus', 'archive', 'news']",8
"['main', 'archive', 'bonus', 'vklad']",8
"['main', 'internet', 'main', 'tariffs']",8
"['main', 'tariffs', 'digital']",8
"['main', 'internet', 'main', 'archive']",8
"['main', 'archive', 'news', 'rabota']",8
"['main', 'online', 'archive', 'main']",8
"['main', 'bonus', 'rabota', 'tariffs']",8
"['main', 'online', 'archive', 'rabota']",8
"['main', 'archive', 'news', 'online']",8
"['main', 'news', 'internet', 'news']",8
"['main', 'vklad', 'news', 'rabota']",8
"['main', 'bonus', 'vklad', 'tariffs']",8
"['main', 'internet', 'main', 'rabota']",8
"['main', 'bonus', 'online', 'rabota']",8
"['main', 'internet', 'bonus', 'main']",8
"['main', 'vklad', 'rabota', 'online']",8
"['main', 'online', 'news', 'vklad']",8
"['main', 'news', 'tariffs', 'archive']",8
"['main', 'archive', 'rabota', 'vklad']",8
"['main', 'internet', 'tariffs', 'internet']",8
"['main', 'archive', 'internet', 'online']",8
"['main', 'internet', 'vklad', 'news']",8
"['main', 'archive', 'news', 'tariffs']",8
"['main', 'bonus', 'main', 'rabota']",8
"['main', 'tariffs', 'online', 'tariffs']",8
"['main', 'internet', 'news', 'online']",8
"['main', 'internet', 'tariffs', 'online']",8
"['main', 'rabota', 'main', 'archive']",7
"['main', 'vklad', 'internet', 'tariffs']",7
"['main', 'archive', 'vklad', 'rabota']",7
"['main', 'rabota', 'online', 'internet']",7
"['main', 'rabota', 'bonus', 'archive', 'internet']",7
"['main', 'vklad', 'rabota', 'tariffs']",7
"['main', 'tariffs', 'vklad', 'archive']",7
"['main', 'rabota', 'news', 'online']",7
"['main', 'archive', 'internet', 'archive', 'rabota']",7
"['main', 'news', 'online', 'news']",7
"['main', 'vklad', 'tariffs', 'internet']",7
"['main', 'archive', 'vklad', 'main']",7
"['main', 'main', 'bonus']",7
"['main', 'news', 'bonus', 'internet']",7
"['main', 'news', 'internet', 'rabota']",7
"['main', 'digital', 'news']",7
"['main', 'news', 'main', 'bonus']",7
"['main', 'tariffs', 'rabota', 'bonus']",7
"['main', 'online', 'tariffs', 'internet']",7
"['main', 'rabota', 'online', 'main']",7
"['main', 'rabota', 'online', 'rabota']",7
"['main', 'tariffs', 'news', 'tariffs']",7
"['main', 'vklad', 'tariffs', 'vklad']",7
"['main', 'bonus', 'news', 'tariffs']",7
"['main', 'bonus', 'tariffs', 'vklad']",7
"['main', 'internet', 'main', 'bonus']",7
"['main', 'bonus', 'news', 'main']",7
"['main', 'internet', 'tariffs', 'main']",7
"['main', 'vklad', 'internet', 'rabota']",7
"['main', 'online', 'tariffs', 'bonus']",7
"['main', 'online', 'archive', 'news']",7
"['main', 'rabota', 'main', 'vklad']",7
"['main', 'vklad', 'archive', 'bonus']",7
"['main', 'archive', 'vklad', 'tariffs']",7
"['main', 'internet', 'news', 'tariffs']",7
"['main', 'vklad', 'bonus', 'news']",7
"['main', 'bonus', 'main', 'tariffs']",7
"['main', 'vklad', 'internet', 'bonus']",7
"['main', 'tariffs', 'main', 'online']",7
"['main', 'tariffs', 'vklad', 'tariffs']",7
"['main', 'digital', 'online']",7
"['main', 'bonus', 'internet', 'vklad']",7
"['main', 'online', 'internet', 'news']",7
"['main', 'tariffs', 'rabota', 'vklad']",7
"['main', 'bonus', 'news', 'online']",7
"['main', 'bonus', 'internet', 'news']",7
"['main', 'archive', 'online', 'main']",7
"['main', 'tariffs', 'archive', 'main']",7
"['main', 'vklad', 'news', 'bonus']",6
"['main', 'news', 'vklad', 'online']",6
"['main', 'online', 'main', 'archive']",6
